0002453272-0001-4,CATALINA TORRES,SABOR MEXICANA RESTAURANT,1151 VENICE BLVD,LOS ANGELES,1151 VENICE 90015-3245,,,,722110,Full-service restaurants,1,08/01/2009,,"(34.0421, -118.2804)"
0002527672-0001-2,RODRIGUEZ CMC INC,PURE ENERGY CAFE,6833 PARK TERRACE,LOS ANGELES,6833 PARK 90045-1539,,,,722110,Full-service restaurants,11,11/01/2010,,"(33.977, -118.3929)"
0000902995-0001-1,MASTER BURGER INC,MASTER BURGER,4419 S WESTERN AVENUE,LOS ANGELES,4419 WESTERN 90062-1606,,,,722110,Full-service restaurants,8,10/06/1998,,"(34.0036, -118.3089)"
0000441624-0001-8,JOSE G CISNEROS,MAYA BARBER AND BEAUTY SALON,2306 E 1ST STREET,LOS ANGELES,2306 1ST 90033-4002,412 ULYSSES STREET,LOS ANGELES,90065-2433,722110,Full-service restaurants,14,03/29/2006,,"(34.0441, -118.2107)"
0002333826-0001-5,LEE FINANCIAL INVESTMENT LLC,ALOHA CAFE,410 E 2ND STREET,LOS ANGELES,410 2ND 90012-4209,,,,722110,Full-service restaurants,14,02/28/2008,,"(34.0476, -118.2392)"
0002483866-0001-7,CILANTRO FRESH MEXICAN GRILL EXPRESS LLC,,330 S HOPE STREET #23,LOS ANGELES,330 HOPE 90071-3115,,,,722110,Full-service restaurants,14,05/01/2009,,"(34.0531, -118.2528)"
0000652392-0001-4,L A DOWNTOWN PALM LLC,PALM RESTAURANT,1100 S FLOWER STREET,LOS ANGELES,1100 FLOWER 90015-2180,1730 RHODE ISLAND AVENUE NW SUITE ##900,WASHINGTON,20036-3113,722110,Full-service restaurants,14,03/11/2002,,"(34.0429, -118.2641)"
0002587531-0001-3,SICHA SIAM RESTAURANT LLC,SICHA SIAM RESTAURANT,4403 EAGLE ROCK BLVD,LOS ANGELES,4403 EAGLE ROCK 90041-3212,4403 EAGLE ROCK BLVD,LOS ANGELES,90041-3212,722110,Full-service restaurants,14,11/16/2011,,"(34.1242, -118.2208)"
0000605342-0001-6,RICARDO GARDUNO/CANDELARIA DE LA CRUZ,TAQUERIA CAPULHUAC,6315 S BROADWAY,LOS ANGELES,6315 BROADWAY 90003-1431,1207 E 56TH STREET,LOS ANGELES,90011-4725,722110,Full-service restaurants,9,01/01/2002,,"(33.9819, -118.2783)"
0000841265-0007-5,TBS FOODS INC,JACK IN THE BOX # 287,4407 S CENTRAL AVENUE,LOS ANGELES,4407 CENTRAL 90011-3629,4917 GENESTA AVENUE,ENCINO,91316-3438,722110,Full-service restaurants,9,09/09/1991,,"(34.0037, -118.2564)"
0002509178-0001-1,TUNNEL FORTUNE RESTAURANTS LLC,SIZZLING WOK,7070 SEPULVEDA BLVD,VAN NUYS,7070 SEPULVEDA 91405-2926,,,,722110,Full-service restaurants,6,02/01/2010,,"(34.1994, -118.4662)"
0000692947-0001-3,DELUSCIOUS COOKIES & MILK LLC,,829 N HIGHLAND AVENUE,LOS ANGELES,829 HIGHLAND 90038-3416,,,,722110,Full-service restaurants,4,11/15/2002,,"(34.0857, -118.3385)"
0002296885-0001-7,HONG YOL YU,YU'S FISH CORPORATION,12003 AVALON BLVD #103,LOS ANGELES,12003 AVALON 90061-2859,,,,722110,Full-service restaurants,15,11/01/2007,,"(33.9236, -118.2651)"
